date,total_consumption_kg_nkp,consumption_m3_nkp,total_consumption_kg_khon,consumption_m3_khon,total_consumption_kg_combined,total_consumption_m3_combined
2026-04-30,3177.039999999999,2398.6651999999995,112.5,84.9375,3289.539999999999,2483.6026999999995
2026-05-01,2813.9500000000007,2124.5322500000007,112.5,84.9375,2926.4500000000007,2209.4697500000007
2026-05-02,2995.4900000000016,2261.594950000001,90.0,67.95,3085.4900000000016,2329.544950000001
2026-05-03,2995.5,2261.6025,67.5,50.9625,3063.0,2312.565
2026-05-04,2813.9399999999987,2124.524699999999,90.0,67.95,2903.9399999999987,2192.474699999999
2026-05-05,2995.5,2261.6025,90.0,67.95,3085.5,2329.5525
2026-05-06,2995.49,2261.5949499999997,90.0,67.95,3085.49,2329.5449499999995
2026-05-07,3177.040000000001,2398.665200000001,67.5,50.9625,3244.540000000001,2449.627700000001
2026-05-08,2723.1799999999985,2056.0008999999986,90.0,67.95,2813.1799999999985,2123.9508999999985
2026-05-09,3086.260000000002,2330.1263000000017,90.0,67.95,3176.260000000002,2398.0763000000015
2026-05-10,3086.269999999997,2330.1338499999974,90.0,67.95,3176.269999999997,2398.0838499999973
2026-05-11,3267.8100000000013,2467.196550000001,90.0,67.95,3357.8100000000013,2535.146550000001
2026-05-12,3177.040000000001,2398.665200000001,112.5,84.9375,3289.540000000001,2483.602700000001
2026-05-13,2541.629999999999,1918.9306499999993,90.0,67.95,2631.629999999999,1986.8806499999994
2026-05-14,2904.720000000001,2193.063600000001,90.0,67.95,2994.720000000001,2261.0136000000007
2026-05-15,3086.2700000000004,2330.13385,67.5,50.9625,3153.7700000000004,2381.0963500000003
2026-05-16,2995.4900000000016,2261.594950000001,45.0,33.975,3040.4900000000016,2295.569950000001
2026-05-17,3086.2599999999984,2330.126299999999,45.0,33.975,3131.2599999999984,2364.101299999999
2026-05-18,40212.22,30360.2261,6412.5,4841.4375,46624.72,35201.6636
2026-05-19,3358.58,2535.7279,67.5,50.9625,3426.08,2586.6904
2026-05-20,2995.5,2261.6025,67.5,50.9625,3063.0,2312.565
2026-05-21,3177.0399999999972,2398.665199999998,90.0,67.95,3267.0399999999972,2466.615199999998
2026-05-22,3358.5800000000017,2535.7279000000012,90.0,67.95,3448.5800000000017,2603.677900000001
2026-05-23,3177.040000000001,2398.665200000001,45.0,33.975,3222.040000000001,2432.6402000000007
2026-05-24,3086.2699999999986,2330.133849999999,45.0,33.975,3131.2699999999986,2364.1088499999987
2026-05-25,2995.49,2261.5949499999997,45.0,33.975,3040.49,2295.5699499999996
2026-05-26,2995.4900000000016,2261.594950000001,112.5,84.9375,3107.9900000000016,2346.532450000001
2026-05-27,3086.2700000000004,2330.13385,90.0,67.95,3176.2700000000004,2398.08385
2026-05-28,3177.0399999999972,2398.665199999998,90.0,67.95,3267.0399999999972,2466.615199999998
2026-05-29,3177.0300000000025,2398.657650000002,90.0,67.95,3267.0300000000025,2466.6076500000017
2026-05-30,3267.8099999999977,2467.1965499999983,90.0,67.95,3357.8099999999977,2535.146549999998
